"v"	"v2"	"first"	"second"	"palindromatic"
"abo"	"oba"	131	390517	FALSE
"ad"	"da"	760	46607	FALSE
"ah"	"ha"	2501	105995	FALSE
"aha"	"aha"	2502	2502	TRUE
"akrům"	"můrka"	3126	228673	FALSE
"al"	"la"	3792	183817	FALSE
"ala"	"ala"	3793	3793	TRUE
"alej"	"jela"	4098	137545	FALSE
"alejím"	"míjela"	4104	226544	FALSE
"altem"	"metla"	4849	209147	FALSE
"am"	"ma"	5067	199556	FALSE
"amd"	"dma"	5256	57843	FALSE
"amin"	"nima"	5400	381542	FALSE
"amok"	"koma"	5480	158552	FALSE
"amora"	"aroma"	5534	10731	FALSE
"and"	"dna"	6218	57906	FALSE
"aniččina"	"aniččina"	7045	7045	TRUE
"anna"	"anna"	7095	7095	TRUE
"ano"	"ona"	7108	431154	FALSE
"anod"	"dona"	7109	65270	FALSE
"ard"	"dra"	10193	74021	FALSE
"arům"	"můra"	11014	228671	FALSE
"asp"	"psa"	11611	541053	FALSE
"at"	"ta"	12186	698624	FALSE
"ata"	"ata"	12187	12187	TRUE
"atak"	"kata"	12189	148149	FALSE
"atlas"	"salta"	12449	632392	FALSE
"atol"	"lota"	12565	194866	FALSE
"atp"	"pta"	12684	542089	FALSE
"atrap"	"parta"	12716	455274	FALSE
"ats"	"sta"	12774	675499	FALSE
"aud"	"dua"	12814	76540	FALSE
"ave"	"eva"	14502	90746	FALSE
"avi"	"iva"	14508	132241	FALSE
"ač"	"ča"	14837	898039	FALSE
"babek"	"kebab"	14859	149879	FALSE
"bar"	"rab"	16606	592226	FALSE
"baž"	"žab"	18063	920627	FALSE
"bil"	"lib"	22466	190264	FALSE
"blb"	"blb"	23943	23943	TRUE
"bob"	"bob"	25208	25208	TRUE
"bod"	"dob"	25417	57968	FALSE
"bodán"	"nádob"	25662	385574	FALSE
"boj"	"job"	26127	140189	FALSE
"bol"	"lob"	26402	193522	FALSE
"boris"	"sirob"	27007	649263	FALSE
"bos"	"sob"	27156	663033	FALSE
"bp"	"pb"	27898	457965	FALSE
"brk"	"krb"	28859	171404	FALSE
"brv"	"vrb"	29913	764274	FALSE
"bud"	"dub"	30539	76570	FALSE
"bul"	"lub"	31065	195954	FALSE
"bus"	"sub"	31447	688068	FALSE
"bór"	"rób"	32843	630932	FALSE
"cam"	"mac"	34145	199570	FALSE
"celek"	"kelec"	34549	150042	FALSE
"cep"	"pec"	36093	457978	FALSE
"cnc"	"cnc"	44041	44041	TRUE
"com"	"moc"	44072	217373	FALSE
"cos"	"soc"	44156	663236	FALSE
"csc"	"csc"	44370	44370	TRUE
"cíl"	"líc"	46289	198720	FALSE
