"v"	"v2"	"first"	"second"	"palindromatic"
"a"	"a"	1	1	TRUE
"aa"	"aa"	2	2	TRUE
"aaa"	"aaa"	3	3	TRUE
"aas"	"saa"	27	275975	FALSE
"ab"	"ba"	30	25419	FALSE
"aba"	"aba"	31	31	TRUE
"abac"	"caba"	34	43840	FALSE
"abay"	"yaba"	66	145461	FALSE
"abas"	"saba"	113	275981	FALSE
"abba"	"abba"	180	180	TRUE
"abo"	"oba"	636	209953	FALSE
"abrood"	"doorba"	873	91539	FALSE
"absi"	"isba"	957	158585	FALSE
"abut"	"tuba"	1188	331842	FALSE
"ac"	"ca"	1208	43832	FALSE
"acara"	"araca"	1344	18338	FALSE
"acca"	"acca"	1414	1414	TRUE
"acce"	"ecca"	1418	95096	FALSE
"acrid"	"dirca"	2807	86751	FALSE
"ad"	"da"	3394	75939	FALSE
"ada"	"ada"	3395	3395	TRUE
"adad"	"dada"	3400	76087	FALSE
"adar"	"rada"	3484	259492	FALSE
"adda"	"adda"	3505	3505	TRUE
"addda"	"addda"	3510	3510	TRUE
"adet"	"teda"	3820	317746	FALSE
"adinida"	"adinida"	3930	3930	TRUE
"adman"	"namda"	4112	196687	FALSE
"ado"	"oda"	4264	211187	FALSE
"ados"	"soda"	4359	296264	FALSE
"ae"	"ea"	4750	94672	FALSE
"aer"	"rea"	4895	261394	FALSE
"aes"	"sea"	5171	282387	FALSE
"aet"	"tea"	5222	317413	FALSE
"af"	"fa"	5264	108869	FALSE
"aff"	"ffa"	5283	111923	FALSE
"affa"	"affa"	5284	5284	TRUE
"ag"	"ga"	5816	120762	FALSE
"aga"	"aga"	5817	5817	TRUE
"agag"	"gaga"	5828	120947	FALSE
"agama"	"amaga"	5854	9736	FALSE
"agar"	"raga"	5904	259902	FALSE
"agas"	"saga"	5925	276614	FALSE
"agenes"	"senega"	6003	285252	FALSE
"aget"	"tega"	6034	317877	FALSE
"agger"	"regga"	6042	265612	FALSE
"agib"	"biga"	6173	33683	FALSE
"agla"	"alga"	6236	8024	FALSE
"agnat"	"tanga"	6289	316018	FALSE
"agons"	"snoga"	6389	295667	FALSE
"agos"	"soga"	6401	296388	FALSE
"agrom"	"morga"	6541	193416	FALSE
"agust"	"tsuga"	6619	331811	FALSE
"ah"	"ha"	6620	131715	FALSE
"aha"	"aha"	6621	6621	TRUE
"ahom"	"moha"	6659	191252	FALSE
"ahs"	"sha"	6667	286992	FALSE
"aht"	"tha"	6669	320424	FALSE
"ai"	"ia"	6685	145459	FALSE
"ay"	"ya"	6686	145460	FALSE
"ayah"	"haya"	6688	132285	FALSE
"aid"	"dia"	6700	83961	FALSE
"aider"	"redia"	6708	264159	FALSE
"aiger"	"regia"	6728	265615	FALSE
"aile"	"elia"	6767	97537	FALSE
"ailed"	"delia"	6768	80030	FALSE
"aim"	"mia"	6799	185622	FALSE
"air"	"ria"	6840	272392	FALSE
"aira"	"aria"	6841	19629	FALSE
"aire"	"eria"	6892	103656	FALSE
"airts"	"stria"	7015	306178	FALSE
"ais"	"sia"	7033	289444	FALSE
"ajaja"	"ajaja"	7084	7084	TRUE
"ajar"	"raja"	7086	260153	FALSE
"ak"	"ka"	7109	162640	FALSE
"aka"	"aka"	7110	7110	TRUE
"akka"	"akka"	7177	7177	TRUE
"ako"	"oka"	7186	211945	FALSE
"al"	"la"	7220	166592	FALSE
"ala"	"ala"	7221	7221	TRUE
"alala"	"alala"	7274	7274	TRUE
"alap"	"pala"	7324	223270	FALSE
"alas"	"sala"	7351	276900	FALSE
"alban"	"nabla"	7387	196425	FALSE
"ale"	"ela"	7803	96652	FALSE
"alem"	"mela"	7860	182633	FALSE
"alif"	"fila"	8247	112515	FALSE
"allay"	"yalla"	8533	145592	FALSE
"alle"	"ella"	8570	97665	FALSE
"allium"	"muilla"	8768	194839	FALSE
"allo"	"olla"	8774	212321	FALSE
"alma"	"amla"	9083	10703	FALSE
"alo"	"ola"	9205	211994	FALSE
"alod"	"dola"	9209	91053	FALSE
"als"	"sla"	9406	293527	FALSE
"alula"	"alula"	9588	9588	TRUE
"am"	"ma"	9716	176594	FALSE
